noise,spike_contrast,cluster
0.0,0.99978895,3
0.0001,0.99925277,3
0.0002,0.99885084,3
0.0004,0.99689352,3
0.0006,0.99569704,2
0.0008,0.99485749,2
0.001,0.99314567,2
0.0012,0.99341766,2
0.0014,0.98567062,2
0.0016,0.98023716,4
0.0018,0.98851975,2
0.002,0.9826165,2
0.0025,0.98249698,2
0.003,0.96703649,4
0.0035,0.49611155,4
0.004,0.73684359,4
0.0045,0.86916948,4
0.005,0.95559354,4
0.0055,0.17661093,1
0.006,0.86841299,4
0.0065,0.153882,1
0.007,0.14245216,1
0.0075,0.12522885,1
0.008,0.32351637,1
0.0085,0.1385011,1
0.009,0.14787846,1
0.0095,0.14066798,1
0.01,0.12610705,1
0.011,0.12768279,1
0.012,0.40099636,4
0.013,0.73800713,4
0.014,0.93149161,2
0.015,0.93325156,2
0.016,0.92064471,2
0.017,0.92813482,2
0.018,0.92502188,2
0.019,0.93046062,2
0.02,0.92134674,2
0.025,0.90403927,2
0.03,0.85526842,2
0.04,0.54806052,2
0.05,0.20205116,0
0.06,0.16711107,0
0.07,0.14072541,0
0.08,0.12801074,0
0.09,0.1266849,0
0.1,0.12658659,0
0.2,0.12681503,0
0.3,0.12602577,0
0.4,0.12575132,0
0.5,0.12599054,0
