noise,isi_distance,cluster
0.0,0.00078,3
0.0001,0.00108,3
0.0002,0.00234,3
0.0004,0.00211,3
0.0006,0.00303,2
0.0008,0.00396,2
0.001,0.00492,2
0.0012,0.00589,2
0.0014,0.06024,2
0.0016,0.07285,4
0.0018,0.00876,2
0.002,0.03804,2
0.0025,0.02753,2
0.003,0.11102,4
0.0035,0.45947,4
0.004,0.43102,4
0.0045,0.35274,4
0.005,0.12173,4
0.0055,0.47147,1
0.006,0.34971,4
0.0065,0.49137,1
0.007,0.48727,1
0.0075,0.49257,1
0.008,0.48934,1
0.0085,0.48777,1
0.009,0.49359,1
0.0095,0.49515,1
0.01,0.49861,1
0.011,0.49409,1
0.012,0.46342,4
0.013,0.37796,4
0.014,0.05358,2
0.015,0.05128,2
0.016,0.07266,2
0.017,0.05589,2
0.018,0.06191,2
0.019,0.0522,2
0.02,0.05976,2
0.025,0.06679,2
0.03,0.08676,2
0.04,0.18176,2
0.05,0.27597,0
0.06,0.27174,0
0.07,0.26707,0
0.08,0.2638,0
0.09,0.26076,0
0.1,0.25688,0
0.2,0.25586,0
0.3,0.2729,0
0.4,0.29101,0
0.5,0.30956,0
